Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Ano (Código),Ano,Variável (Código),Variável,Unidade da Federação (Código),Unidade da Federação,Condição em relação à força de trabalho na semana de referência (Código),Condição em relação à força de trabalho na semana de referência,Situação do domicílio (Código),Situação do domicílio
3,Unidade da Federação,2,%,,2013,2013,4833,Coeficiente de variação - Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,13,Amazonas,32860,Total,6795,Total
3,Unidade da Federação,2,%,,2013,2013,4833,Coeficiente de variação - Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,14,Roraima,32860,Total,6795,Total
3,Unidade da Federação,2,%,,2013,2013,4833,Coeficiente de variação - Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,15,Pará,32860,Total,6795,Total
3,Unidade da Federação,2,%,,2013,2013,4833,Coeficiente de variação - Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,16,Amapá,32860,Total,6795,Total
3,Unidade da Federação,2,%,,2013,2013,4833,Coeficiente de variação - Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,17,Tocantins,32860,Total,6795,Total
3,Unidade da Federação,2,%,,2013,2013,4833,Coeficiente de variação - Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,21,Maranhão,32860,Total,6795,Total
3,Unidade da Federação,2,%,,2013,2013,4833,Coeficiente de variação - Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,22,Piauí,32860,Total,6795,Total
3,Unidade da Federação,2,%,,2013,2013,4833,Coeficiente de variação - Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,23,Ceará,32860,Total,6795,Total
3,Unidade da Federação,2,%,,2013,2013,4833,Coeficiente de variação - Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,24,Rio Grande do Norte,32860,Total,6795,Total
3,Unidade da Federação,2,%,,2013,2013,4833,Coeficiente de variação - Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,25,Paraíba,32860,Total,6795,Total
3,Unidade da Federação,2,%,,2013,2013,4833,Coeficiente de variação - Pessoas de 18 anos ou mais de idade que consomem feijão regularmente,26,Pernambuco,32860,Total,6795,Total
